route,check,severity,detail
/leaderboard,C1,3,"131 words of main content (<150)"
/about,C2,3,"first-200-chars identical across 1341 pages: e.g. /about, /age-calculator, /answers/how-does-stress-affect-life-expectancy, /answers/how-long-will-i-live"
/,T2,3,"title 103 chars (>65): ""Best Age Calculator, Celebrity Birthday Match & Life Expectancy | BornClock - Age & Birthday Calculator"""
/birthday/10/15,T2,3,"title 69 chars (>65): ""October 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/16,T2,3,"title 69 chars (>65): ""October 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/17,T2,3,"title 69 chars (>65): ""October 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/18,T2,3,"title 69 chars (>65): ""October 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/19,T2,3,"title 69 chars (>65): ""October 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/2,T2,3,"title 68 chars (>65): ""October 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/20,T2,3,"title 69 chars (>65): ""October 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/21,T2,3,"title 69 chars (>65): ""October 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/22,T2,3,"title 69 chars (>65): ""October 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/23,T2,3,"title 69 chars (>65): ""October 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/24,T2,3,"title 69 chars (>65): ""October 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/25,T2,3,"title 69 chars (>65): ""October 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/26,T2,3,"title 69 chars (>65): ""October 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/27,T2,3,"title 69 chars (>65): ""October 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/28,T2,3,"title 69 chars (>65): ""October 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/29,T2,3,"title 69 chars (>65): ""October 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/3,T2,3,"title 68 chars (>65): ""October 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/30,T2,3,"title 69 chars (>65): ""October 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/31,T2,3,"title 69 chars (>65): ""October 31 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/4,T2,3,"title 68 chars (>65): ""October 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/5,T2,3,"title 68 chars (>65): ""October 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/6,T2,3,"title 68 chars (>65): ""October 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/7,T2,3,"title 68 chars (>65): ""October 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/8,T2,3,"title 68 chars (>65): ""October 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/9,T2,3,"title 68 chars (>65): ""October 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11,T2,3,"title 68 chars (>65): ""November Birthdays — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/1,T2,3,"title 69 chars (>65): ""November 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/10,T2,3,"title 70 chars (>65): ""November 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/11,T2,3,"title 70 chars (>65): ""November 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/12,T2,3,"title 70 chars (>65): ""November 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/13,T2,3,"title 70 chars (>65): ""November 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/14,T2,3,"title 70 chars (>65): ""November 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/15,T2,3,"title 70 chars (>65): ""November 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/16,T2,3,"title 70 chars (>65): ""November 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/17,T2,3,"title 70 chars (>65): ""November 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/11/18,T2,3,"title 70 chars (>65): ""November 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
